site_code,individual,leaf_number,surface,random_number,angle,length_pixels
knhp,i3,l2,lower,2,49.399,9.582
knhp,i3,l2,lower,3,85.914,13.218
knhp,i3,l2,lower,4,-33.69,10.68
knhp,i3,l2,lower,5,-26.565,10.398
knhp,i3,l2,upper,1,-76.759,17.464
knhp,i3,l2,upper,2,-131.987,12.737
knhp,i3,l2,upper,3,151.39,13.149
knhp,i3,l2,upper,4,8.13,20.838
knhp,i3,l2,upper,5,-159.444,17.088
knhp,i4,l1,lower,1,26.565,15.766
knhp,i4,l1,lower,2,-12.095,14.851
knhp,i4,l1,lower,3,41.987,12.748
knhp,i4,l1,lower,4,85.914,13.683
knhp,i4,l1,lower,5,-3.814,14.547
knhp,i4,l1,upper,1,90,18
knhp,i4,l1,upper,2,-49.764,16.517
knhp,i4,l1,upper,3,75.964,16.378
knhp,i4,l1,upper,4,-14.931,15.805
knhp,i4,l1,upper,5,-51.843,17.468
knhp,i4,l2,lower,1,48.013,13.975
knhp,i4,l2,lower,2,10.305,10.466
knhp,i4,l2,lower,3,48.013,13.509
knhp,i4,l2,lower,4,7.595,14.468
knhp,i4,l2,lower,5,0,9.667
knhp,i4,l2,upper,1,-41.186,11.503
knhp,i4,l2,upper,2,38.66,12.612
knhp,i4,l2,upper,3,0,12.51
knhp,i4,l2,upper,4,-45,13.437
knhp,i4,l2,upper,5,0,13.004
knhp,i5,l1,lower,1,28.301,14.765
knhp,i5,l1,lower,2,-57.529,13.677
knhp,i5,l1,lower,3,12.995,13.187
knhp,i5,l1,lower,4,-79.695,10.574
knhp,i5,l1,lower,5,11.31,10.558
knhp,i5,l1,upper,1,-23.962,20.359
knhp,i5,l1,upper,2,-58.57,21.45
knhp,i5,l1,upper,3,93.18,17.679
knhp,i5,l1,upper,4,30.466,19.394
knhp,i5,l1,upper,5,39.472,22.154
knhp,i5,l2,lower,1,52.125,11.451
knhp,i5,l2,lower,2,-38.66,12.601
knhp,i5,l2,lower,3,4.764,12.003
knhp,i5,l2,lower,4,40.236,17.004
knhp,i5,l2,lower,5,5.711,9.902
knhp,i5,l2,upper,1,-38.157,18.012
knhp,i5,l2,upper,2,96.34,18.382
knhp,i5,l2,upper,3,-47.726,14.699
knhp,i5,l2,upper,4,-14.931,15.613
knhp,i5,l2,upper,5,33.69,18.038
knhp,i6,l1,lower,1,45,10.785
knhp,i6,l1,lower,2,-53.973,13.2
knhp,i6,l1,lower,3,95.194,11.178
knhp,i6,l1,lower,4,45,10.853
knhp,i6,l1,lower,5,-41.186,10.883
knhp,i6,l1,upper,1,3.366,16.388
knhp,i6,l1,upper,2,172.875,23.633
knhp,i6,l1,upper,3,147.529,13.269
knhp,i6,l1,upper,4,154.537,23.703
knhp,i6,l1,upper,5,33.69,17.967
knhp,i6,l2,lower,1,19.654,14.337
knhp,i6,l2,lower,2,-52.125,12.003
knhp,i6,l2,lower,3,-48.366,11.557
knhp,i6,l2,lower,4,90,10.335
knhp,i6,l2,lower,5,85.914,14.02
knhp,i6,l2,upper,1,-12.095,14.011
knhp,i6,l2,upper,2,-19.44,17.288
knhp,i6,l2,upper,3,128.66,19.526
knhp,i6,l2,upper,4,-14.036,16.434
knhp,i6,l2,upper,5,4.086,13.683
knhp,i7,l1,lower,1,10.62,15.892
knhp,i7,l1,lower,2,-50.711,14.036
knhp,i7,l1,lower,3,32.471,15.268
knhp,i7,l1,lower,4,5.194,13.384
knhp,i7,l1,lower,5,-4.086,11.045
knhp,i7,l1,upper,1,9.462,18.196
knhp,i7,l1,upper,2,-43.025,20.518
knhp,i7,l1,upper,3,-30.964,17.335
knhp,i7,l1,upper,4,114.444,23.286
knhp,i7,l1,upper,5,154.654,21.169
knhp,i7,l2,lower,1,-17.354,16.987
knhp,i7,l2,lower,2,57.265,17.18
knhp,i7,l2,lower,3,54.462,17.205
knhp,i7,l2,lower,4,-45,15.439
knhp,i7,l2,lower,5,0,14.252
knhp,i7,l2,upper,1,87.397,21.708
knhp,i7,l2,upper,2,16.39,17.72
knhp,i7,l2,upper,3,-70.821,24.588
knhp,i7,l2,upper,4,3.18,18.345
knhp,i7,l2,upper,5,95.194,22.091
knhp,i8,l1,lower,1,-150.945,20.623
knhp,i8,l1,lower,2,96.34,17.813
knhp,i8,l1,lower,3,0,16
knhp,i8,l1,lower,4,-71.565,12.5
knhp,i8,l1,lower,5,3.18,18.049
knhp,i8,l1,upper,1,12.095,14.97
knhp,i8,l1,upper,2,-19.654,15.366
knhp,i8,l1,upper,3,-64.983,16.221
knhp,i8,l1,upper,4,-29.745,15.962
knhp,i8,l1,upper,5,-64.983,17.298
knhp,i8,l2,lower,1,144.462,16.935
knhp,i8,l2,lower,2,-35.538,17.757
knhp,i8,l2,lower,3,36.87,14.705
knhp,i8,l2,lower,4,-59.744,13.987
knhp,i8,l2,lower,5,137.49,15.836
knhp,i8,l2,upper,1,-14.036,16.867
knhp,i8,l2,upper,2,10.62,16.935
knhp,i8,l2,upper,3,43.152,22.423
knhp,i8,l2,upper,4,-50.906,20.147
knhp,i8,l2,upper,5,-39.806,23.114
klkb,i1,l1,lower,1,-124.509,18.679
klkb,i1,l1,lower,2,39.289,14.004
klkb,i1,l1,lower,3,10.008,16.879
klkb,i1,l1,lower,4,79.38,16.344
klkb,i1,l1,lower,5,-14.931,15.524
klkb,i1,l1,upper,1,26.565,20.125
klkb,i1,l1,upper,2,-43.363,25.125
klkb,i1,l1,upper,3,75.964,16.997
klkb,i1,l1,upper,4,-117.897,21.773
klkb,i1,l1,upper,5,158.199,19.686
klkb,i1,l2,lower,1,116.565,16.1
klkb,i1,l2,lower,2,100.008,16.879
klkb,i1,l2,lower,3,48.013,14.049
klkb,i1,l2,lower,4,132.51,16.506
